X,stat.Text,stat.label
1,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
2,days AmericaFirst Freedom Liberty PursuitofHappinessWeyou PresidentTrump,positive
3,Lets get back to work America,positive
4,Lets get back to work America,positive
5,The United States of False Flags FalseFlagAttacks PresidentTrumpThe United States government is the world AqfqEXf,negative
6,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
7,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
8,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
9,Dont worry PresidentTrump American patriots know better than to listen to the lying FakeNews MSM who are propaga XtygIFz,negative
10,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
11,Lets get back to work America,positive
12,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
13,Congratulations PresidentTrump on your Firstdays We are so proud of you in every way,positive
14,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
15,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
16,The Ceremony PresidentTrump FirstDays xICeIrcuD,neutral
17,Were going to bomb the shit outta ISIS PresidentTrump promptly drops moab in Afghanistan,negative
18,Star Trek Discovery Adds Five New Cast MembersCCOTMAGAAmericaFirstPresidentTrump xhTOiysyWy,neutral
19,Reasons to Save Once Upon a Time from CancellationCCOTMAGAAmericaFirstPresidentTrump JIBkdBcMg,neutral
20,RT ANOMALY PresidentTrump POTUS at NRAconventionyear assault on gun rights is overTrumpAmericaIsBack TquzIdcho,negative
21,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
22,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
23,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
24,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
